description,code
vehicle is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""vehicle"" />
</Actors>"
adversary is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""adversary"" />
</Actors>"
,"<Actors selectTriggeringEntities=""false"" />"
hero is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""hero"" />
</Actors>"
EgoVehicle is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""EgoVehicle"" />
</Actors>"
ChallengingVehicle is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""ChallengingVehicle"" />
</Actors>"
Target is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Target"" />
</Actors>"
$owner is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""$owner"" />
</Actors>"
Ego is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Ego"" />
</Actors>"
Target1 is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Target1"" />
</Actors>"
Dummy is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Dummy"" />
</Actors>"
bike is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""bike"" />
</Actors>"
A2 is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""A2"" />
</Actors>"
A3 is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""A3"" />
</Actors>"
Truck is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Truck"" />
</Actors>"
Target2 is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""Target2"" />
</Actors>"
OverTaker is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""OverTaker"" />
</Actors>"
NPC is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""NPC"" />
</Actors>"
pedestrian_adult is,"<Actors selectTriggeringEntities=""false"">
  <EntityRef entityRef=""pedestrian_adult"" />
</Actors>"
