description,code
The entity 'hero' referencing the catalog model 'volkswagen.t2' is,"<ScenarioObject name=""hero"">
  <CatalogReference catalogName=""VehicleCatalog"" entryName=""vehicle.volkswagen.t2"" />
</ScenarioObject>"
The yellow entity 'vehicle' referencing the catalog model 'tesla.model3' is,"<ScenarioObject name=""vehicle"">
  <CatalogReference catalogName=""VehicleCatalog"" entryName=""vehicle.tesla.model3"">
    <ParameterAssignments>
      <ParameterAssignment parameterRef=""carcolor"" value=""255,255,0"" />
    </ParameterAssignments>
  </CatalogReference>
</ScenarioObject>"
The grey entity 'vehicle2' referencing the catalog model 'tesla.model3' is,"<ScenarioObject name=""vehicle2"">
  <CatalogReference catalogName=""VehicleCatalog"" entryName=""vehicle.tesla.model3"">
    <ParameterAssignments>
      <ParameterAssignment parameterRef=""carcolor"" value=""122,122,122"" />
    </ParameterAssignments>
  </CatalogReference>
</ScenarioObject>"
The entity 'adversary' referencing the catalog model 'Pedestrian1' is,"<ScenarioObject name=""adversary"">
  <CatalogReference catalogName=""PedestrianCatalog"" entryName=""Pedestrian1"" />
</ScenarioObject>"
The entity 'barrier1' referencing the catalog model 'Barrier1' is,"<ScenarioObject name=""barrier1"">
  <CatalogReference catalogName=""MiscObjectCatalog"" entryName=""Barrier1"" />
</ScenarioObject>"
The car entity 'hero' with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""hero"">
  <Vehicle name=""vehicle.lincoln.mkz_2017"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""ego_vehicle"" />
      <Property name=""color"" value=""0,0,255"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The car entity is,"<ScenarioObject name=""hero"">
  <Vehicle name=""vehicle.tesla.model3"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""ego_vehicle"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The bicycle entity 'adversary' with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""adversary"">
  <Vehicle name=""vehicle.diamondback.century"" vehicleCategory=""bicycle"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The car entity referencing the catalog model 'tesla.model3' is,"<ScenarioObject name=""adversary"">
  <Vehicle name=""vehicle.tesla.model3"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
      <Property name=""color"" value=""255,0,0"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
The car entity with a maximum speed performance of 69.444 m/s is,"<ScenarioObject name=""adversary2"">
  <Vehicle name=""vehicle.tesla.model3"" vehicleCategory=""car"">
    <ParameterDeclarations />
    <Performance maxSpeed=""69.444"" maxAcceleration=""200"" maxDeceleration=""10.0"" />
    <BoundingBox>
      <Center x=""1.5"" y=""0.0"" z=""0.9"" />
      <Dimensions width=""2.1"" length=""4.5"" height=""1.8"" />
    </BoundingBox>
    <Axles>
      <FrontAxle maxSteering=""0.5"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""3.1"" positionZ=""0.3"" />
      <RearAxle maxSteering=""0.0"" wheelDiameter=""0.6"" trackWidth=""1.8"" positionX=""0.0"" positionZ=""0.3"" />
    </Axles>
    <Properties>
      <Property name=""type"" value=""simulation"" />
      <Property name=""color"" value=""255,0,0"" />
    </Properties>
  </Vehicle>
</ScenarioObject>"
