description,code
changes the speed to 10.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""3"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 0.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""5"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 2.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""6.5"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""2.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 0.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""10"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""0.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 2.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""1.5"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""2.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to $leadingSpeedm/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""20"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$leadingSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to $leadingSpeedm/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""50"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$leadingSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
"performs a routing maneuver  in order to reach the target point (absolute coordinates (x=92, y=13.5)).for the purpose of AcquirePosition to autonomously find and move the path.","<PrivateAction>
  <RoutingAction>
    <AcquirePositionAction>
      <Position>
        <WorldPosition x=""92"" y=""13.5"" z=""0"" h=""0"" />
      </Position>
    </AcquirePositionAction>
  </RoutingAction>
</PrivateAction>"
"synchronizes at the point when the master object (hero) reaches the absolute coordinates (x=103, y=55). its running speed at a relative speed of 3 m/s compared to the master so that it reaches the absolute coordinates (x=92, y=63.8).","<PrivateAction>
  <SynchronizeAction masterEntityRef=""hero"">
    <TargetPositionMaster>
      <WorldPosition x=""103"" y=""55"" z=""0"" h=""3.14159"" />
    </TargetPositionMaster>
    <TargetPosition>
      <WorldPosition x=""92"" y=""63.8"" z=""0"" h=""-1.56"" />
    </TargetPosition>
    <FinalSpeed>
      <RelativeSpeedToMaster value=""3"" speedTargetValueType=""delta"" />
    </FinalSpeed>
  </SynchronizeAction>
</PrivateAction>"
changes the speed to 5.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""50"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""5.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes to the right lane of the adversary.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction>
      <LaneChangeActionDynamics dynamicsShape=""linear"" value=""25"" dynamicsDimension=""distance"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""adversary"" value=""-1"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
changes the speed to 10m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""10000"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 10.0m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""1.5"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to $leadingSpeedm/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""30"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$leadingSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to 10m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""10"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
moves 2.0 m to the right of hero.,"<PrivateAction>
  <LateralAction>
    <LateralDistanceAction entityRef=""hero"" continuous=""true"" distance=""-2.0"" freespace=""false"">
      <DynamicConstraints maxAcceleration=""1.0"" maxDeceleration=""1.0"" maxSpeed=""2.0"" />
    </LateralDistanceAction>
  </LateralAction>
</PrivateAction>"
activates longitudinal and lateral controllers.,"<PrivateAction>
  <ActivateControllerAction lateral=""true"" longitudinal=""true"" />
</PrivateAction>"
accelerates and decelerates smoothly over $ChallengingVehicle_SpeedChangeDuration seconds and changes the speed to $ChallengingVehicle_TargetSpeedm/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""cubic"" value=""$ChallengingVehicle_SpeedChangeDuration"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$ChallengingVehicle_TargetSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes the speed to $ChallengingVehicle_TargetSpeedm/s linearly at a rate of $ChallengingVehicle_TargetSpeedChangeRatem/s².,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""linear"" value=""$ChallengingVehicle_TargetSpeedChangeRate"" dynamicsDimension=""rate"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$ChallengingVehicle_TargetSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
changes to EgoVehicle's lane.,"<PrivateAction>
  <LateralAction>
    <LaneChangeAction targetLaneOffset=""$ChallengingVehicle_TargetLaneOffset"">
      <LaneChangeActionDynamics dynamicsShape=""sinusoidal"" value=""$ChallengingVehicle_LaneChangeDistance"" dynamicsDimension=""distance"" />
      <LaneChangeTarget>
        <RelativeTargetLane entityRef=""EgoVehicle"" value=""0"" />
      </LaneChangeTarget>
    </LaneChangeAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset1m relative to the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset1"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset2m relative to the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset2"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset3m based on the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset3"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset4m based on the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset4"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset5m based on the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset5"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
drives with an offset of $ChallengingVehicle_SwerveOffset6m relative to the road.,"<PrivateAction>
  <LateralAction>
    <LaneOffsetAction continuous=""true"">
      <LaneOffsetActionDynamics maxLateralAcc=""$ChallengingVehicle_SwerveLateralAcceleration"" dynamicsShape=""sinusoidal"" />
      <LaneOffsetTarget>
        <AbsoluteTargetLaneOffset value=""$ChallengingVehicle_SwerveOffset6"" />
      </LaneOffsetTarget>
    </LaneOffsetAction>
  </LateralAction>
</PrivateAction>"
"from the opponent lane (dLane=0, dsLane=0.0), the opponent lane (dLane=0, dsLane=${$traj_length*0.2}), the opponent lane (dLane=0, dsLane=${$traj_length*0.6}), the opponent lane (dLane=0, dsLane=${$traj_length*0.8}), the opponent lane (dLane=0, dsLane=${$traj_length}) Runs flexibly along a smooth NURBS trajectory of order 4 passing through the control point.","<PrivateAction>
  <RoutingAction>
    <FollowTrajectoryAction>
      <TrajectoryRef>
        <Trajectory name=""trajectory"" closed=""false"">
          <Shape>
            <Nurbs order=""4"">
              <ControlPoint weight=""1.0"">
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""0.0"" offset=""0.0"" dLane=""0"" />
                </Position>
              </ControlPoint>
              <ControlPoint weight=""1.0"">
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""${$traj_length*0.2}"" offset=""${$cutin_direction*$lane_width*0.1}"" dLane=""0"" />
                </Position>
              </ControlPoint>
              <ControlPoint weight=""1.0"">
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""${$traj_length*0.6}"" offset=""${$cutin_direction*$lane_width*0.5}"" dLane=""0"" />
                </Position>
              </ControlPoint>
              <ControlPoint weight=""1.0"">
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""${$traj_length*0.8}"" offset=""${$cutin_direction*$lane_width*0.9}"" dLane=""0"" />
                </Position>
              </ControlPoint>
              <ControlPoint weight=""1.0"">
                <Position>
                  <RelativeLanePosition entityRef=""$entity_name"" dsLane=""${$traj_length}"" offset=""${$cutin_direction*$lane_width}"" dLane=""0"" />
                </Position>
              </ControlPoint>
              <Knot value=""0"" />
              <Knot value=""0"" />
              <Knot value=""0"" />
              <Knot value=""0"" />
              <Knot value=""0.5"" />
              <Knot value=""1"" />
              <Knot value=""1"" />
              <Knot value=""1"" />
              <Knot value=""1"" />
            </Nurbs>
          </Shape>
        </Trajectory>
      </TrajectoryRef>
      <TimeReference>
        <None />
      </TimeReference>
      <TrajectoryFollowingMode followingMode=""position"" />
    </FollowTrajectoryAction>
  </RoutingAction>
</PrivateAction>"
