description,code
"When the vehicle enters the range (140, 55)","<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""vehicle"" />
    </TriggeringEntities>
    <EntityCondition>
      <ReachPositionCondition tolerance=""1.0"">
        <Position>
          <WorldPosition x=""140"" y=""55"" z=""0"" />
        </Position>
      </ReachPositionCondition>
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
If adversary is stopped for 1 second,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""adversary"" />
    </TriggeringEntities>
    <EntityCondition>
      <StandStillCondition duration=""1"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
When a step in the 'PedestrianStartsWalking' action is completed,"<Condition name=""AfterPedestrianWalks"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""PedestrianStartsWalking"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
If the vehicle is stopped for 0.1 seconds,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""vehicle"" />
    </TriggeringEntities>
    <EntityCondition>
      <StandStillCondition duration=""0.1"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
PedestrianStopsAndWaits When the action has completed,"<Condition name=""AfterPedestrianStopsAndWaits"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""PedestrianStopsAndWaits"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
If it stops for 0.1 second,"<Condition name=""StartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByEntityCondition>
    <TriggeringEntities triggeringEntitiesRule=""any"">
      <EntityRef entityRef=""adversary"" />
    </TriggeringEntities>
    <EntityCondition>
      <StandStillCondition duration=""0.1"" />
    </EntityCondition>
  </ByEntityCondition>
</Condition>"
PedestrianStartsWalkingAway When the action is complete,"<Condition name=""AfterPedestrianStartsWalking"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <StoryboardElementStateCondition storyboardElementType=""action"" storyboardElementRef=""PedestrianStartsWalkingAway"" state=""completeState"" />
  </ByValueCondition>
</Condition>"
When the simulation time reaches 0 seconds or more,"<Condition name=""OverallStartCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
20.0 seconds after starting simulation,"<Condition name=""EndCondition"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""20.0"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
20 seconds after starting simulation,"<Condition name=""WeatherChangeStartTime"" delay=""0"" conditionEdge=""rising"">
  <ByValueCondition>
    <SimulationTimeCondition value=""20"" rule=""greaterThan"" />
  </ByValueCondition>
</Condition>"
