description,code
"at world coordinates (x:170, y:55)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""170"" y=""55"" z=""0"" h=""3.14159265359"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:150, y:55)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""150"" y=""55"" z=""0"" h=""3.14159265359"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:150, y:60)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""150"" y=""60"" z=""0"" h=""3.14159265359"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:110, y:52)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""110"" y=""52"" z=""0.3"" h=""1.57079632679"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:100, y:58)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""100"" y=""58"" z=""0"" h=""1.57079632679"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
at 48.58m on right lane 1 of road 4 (lateral offset 1.0m),"<PrivateAction>
  <TeleportAction>
    <Position>
      <LanePosition roadId=""4"" laneId=""-1"" offset=""1.0"" s=""48.58"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:130, y:55)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""130"" y=""55"" z=""0"" h=""3.14159265359"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
"at world coordinates (x:95.5, y:41)","<PrivateAction>
  <TeleportAction>
    <Position>
      <WorldPosition x=""95.5"" y=""41"" z=""0.2"" h=""3.14159265359"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
at 48.58m longitudinally and 2.75m laterally on road 4,"<PrivateAction>
  <TeleportAction>
    <Position>
      <RoadPosition roadId=""4"" s=""48.58"" t=""2.75"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
at 50m longitudinally and -1.0m laterally relative to hero,"<PrivateAction>
  <TeleportAction>
    <Position>
      <RelativeRoadPosition entityRef=""hero"" ds=""50"" dt=""-1.0"" />
    </Position>
  </TeleportAction>
</PrivateAction>"
