description,code
runs at an initial entry speed of 1m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""20"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""1"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is moving at $EgoVehicle_StartSpeedm/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$EgoVehicle_StartSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
runs with target speed set to $ChallengingVehicle_StartSpeedm/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$ChallengingVehicle_StartSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is equipped with running speed of 28.0m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""1.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""28.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
drives at an initial entry speed of 40.0m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""1.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""40.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is running at an initial entry speed of 7.0 m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""7.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
starts driving at a constant speed of 12.0m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""distance"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""12.0"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
runs at a speed of ${$EgoSpeed ​​/ 3.6}m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""${$EgoSpeed / 3.6}"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
starts driving at a constant speed with an initial entry speed of ${$TargetSpeed ​​/ 3.6}m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""${$TargetSpeed / 3.6}"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
drives at an initial speed of $EgoSpeedm/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$EgoSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
maintains driving speed at the specified speed of $TargetSpeedm/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""$TargetSpeed"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is moving with the target speed set to 10 m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" value=""0.0"" dynamicsDimension=""time"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""10"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
runs at a designated speed of 15m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""15"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is moving at a speed of 30m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""30"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
is in progress with the target speed set to 20m/s.,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""20"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
drives at an initial entry speed of 25 m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsShape=""step"" dynamicsDimension=""time"" value=""0.0"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""25"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
runs at a specified speed of 3m/s,"<PrivateAction>
  <LongitudinalAction>
    <SpeedAction>
      <SpeedActionDynamics dynamicsDimension=""time"" dynamicsShape=""step"" value=""1"" />
      <SpeedActionTarget>
        <AbsoluteTargetSpeed value=""3"" />
      </SpeedActionTarget>
    </SpeedAction>
  </LongitudinalAction>
</PrivateAction>"
